key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,right,0,1,1,0,1,5 x 5 - 10 = 22?,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,right,0,2,2,2,1,10 - 5 - 16 = 21?,4.3713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,left,0,3,3,3,1,2 + 20 x 4 = 82?,2.9455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,left,0,4,4,4,1,11 + 3 - 7 = 8?,3.4056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,47 + 13 - 7 = 53?,,space,5.1926,,0,0,0,11,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,5 x 5 - 29 = -40?,,,,right,0,1,1,7,1,SPEED UP,0,right,2.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,2 - 15 + 39 = 27?,,,,right,0,2,2,0,1,RESPONSE RECORDED,0,right,2.9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,14 x 2 + 10 = 38?,,,,left,0,3,3,4,1,CONCENTRATE,1,left,2.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,54 - 40 x -2 = - 27?,,,,right,0,4,4,8,1,RESPONSE RECORDED,0,right,2.4921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,,,,,,,,,7 x 11 - 21 = 56?,,,,right,0,5,5,9,1,SPEED UP,1,left,3.2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
