key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.rt,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,3.5309,0,24,24,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,right,4.722,0,25,25,0,1,drank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,right,3.5812,0,26,26,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,left,1.6219,0,27,27,14,1,tourist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,space,22.905,,0,0,0,1,1,10 - 18 + 1 = -9?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,0,1,1,0,1,5 x 5 - 10 = 22?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,0,2,2,4,1,11 + 3 - 7 = 8?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,0,3,3,2,1,10 - 5 - 16 = 21?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,right,0,4,4,3,1,2 + 20 x 4 = 82?,4.7346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,24,7-9h,2021-12-01_14h36.54.865,bachelor,2021.2.3,Win32,59.59475566,IwAR3yLSyi89beHyCf_cfZaWvbm-miesleX5fER5oKj6TyDyIddQJS753WqGo,,,,,,,,,,,,,,,,,,,35 - 65 - 20 = - 55?,,space,7.782,,0,0,0,10,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
