key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,7 x 11 - 21 = 56?,,,left,4.0133,0,11,11,9,1,SPEED UP,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,2 - 15 + 39 = 27?,,,right,3.7288,0,12,12,0,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,47 + 13 - 7 = 53?,,,left,2.9756,0,13,13,11,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,20 x 2 - 77 = 24?,,,,,,,,,,YOU NEED TO CONCENTRATE,0,right,space,7.0632,right,3.7132,0,0,0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,10 x 11 + 45 = 155?,,,,,,,,,,RESPONSE RECORDED,1,left,,,left,4.0014,0,1,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,62 - 15 x 3 = 5?,,,,,,,,,,PAY ATTENTION,0,right,,,right,2.9061,0,2,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,6 - 13 + 4 = -3?,,,,,,,,,,CONCENTRATE,1,left,,,,,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,12 + 10 x 4 = 70?,,,,,,,,,,RESPONSE RECORDED,0,right,,,right,1.6892,0,4,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,56 - 6 x 3 = 33?,,,,,,,,,,SPEED UP,0,right,,,right,4.3911,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kolobabs,woman,23,4-6h,2021-12-06_13h25.11.791,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,13 x 3 + 2 = 90?,,,,,,,,,,RESPONSE RECORDED,0,right,,,right,2.4909,0,6,6,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
