key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,space,1.7125,left,0.8684,0,0,0,0,1,5 x 5 - 10 = 22?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,right,0.1328,0,1,1,2,1,10 - 5 - 16 = 21?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,left,0.1268,0,2,2,4,1,11 + 3 - 7 = 8?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,right,0.1154,0,3,3,3,1,2 + 20 x 4 = 82?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,left,0.1577,0,4,4,1,1,10 - 18 + 1 = -9?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,50 x 3 + 12 = 147?,space,3.0217,right,0.4906,0,0,0,1,1,SPEED UP,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,2 x 40 + 3 = 84?,,,left,1.6601,0,1,1,6,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,14 x 2 - 3 = 25?,,,right,0.1191,0,2,2,13,1,TRY HARDER,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,72 + 17 x 3 = 121?,,,right,1.6487,0,3,3,2,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,5 x 5 - 29 = -40?,,,right,1.7859,0,4,4,7,1,SPEED UP,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
