key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,5 x 5 - 29 = -40?,,,right,0,1,1,7,1,SPEED UP,0,right,3.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,7 x 11 - 21 = 56?,,,right,0,2,2,9,1,SPEED UP,1,left,1.8395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,72 + 17 x 3 = 121?,,,left,0,3,3,2,1,RESPONSE RECORDED,0,right,2.9732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,50 x 3 + 12 = 147?,,,right,0,4,4,1,1,SPEED UP,1,left,3.1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,54 + 60 - 1 = 113?,,,left,0,5,5,5,1,PAY ATTENTION,1,left,2.9114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,53 + 13 x 7 = -150?,,,right,0,6,6,12,1,YOU’RE NOT TRYING HARD ENOUGH,0,right,3.8011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,14 x 2 - 3 = 25?,,,left,0,7,7,13,1,TRY HARDER,1,left,3.7411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,2 - 15 + 39 = 27?,,,right,0,8,8,0,1,RESPONSE RECORDED,0,right,3.8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,54 - 40 x -2 = - 27?,,,right,0,9,9,8,1,RESPONSE RECORDED,0,right,4.2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,14 x 2 + 10 = 38?,,,left,0,10,10,4,1,CONCENTRATE,1,left,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
