key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,right,0.9001,0,25,25,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,right,1.2541,0,26,26,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,left,3.5784,0,27,27,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,space,6.1717,,0,0,0,4,1,11 + 3 - 7 = 8?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,0,1,1,3,1,2 + 20 x 4 = 82?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,left,0,2,2,2,1,10 - 5 - 16 = 21?,0.0839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,0,3,3,1,1,10 - 18 + 1 = -9?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,right,0,4,4,0,1,5 x 5 - 10 = 22?,3.3368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,53 + 13 x 7 = -150?,,space,2.9976,,0,0,0,12,1,YOU’RE NOT TRYING HARD ENOUGH,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,54 + 60 - 1 = 113?,,,,left,0,1,1,5,1,PAY ATTENTION,1,left,4.7481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,5 x 5 - 29 = -40?,,,,right,0,2,2,7,1,SPEED UP,0,right,3.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,47 + 13 - 7 = 53?,,,,right,0,3,3,11,1,RESPONSE RECORDED,1,left,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,6 - 58 + 11 = -41?,,,,right,0,4,4,3,1,RESPONSE RECORDED,1,left,3.4487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,7 x 11 - 21 = 56?,,,,left,0,5,5,9,1,SPEED UP,1,left,4.2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,2 - 15 + 39 = 27?,,,,left,0,6,6,0,1,RESPONSE RECORDED,0,right,3.9602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,54 - 40 x -2 = - 27?,,,,right,0,7,7,8,1,RESPONSE RECORDED,0,right,4.6862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,72 + 17 x 3 = 121?,,,,left,0,8,8,2,1,RESPONSE RECORDED,0,right,4.4385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,35 - 65 - 20 = - 55?,,,,left,0,9,9,10,1,RESPONSE RECORDED,0,right,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,2 x 40 + 3 = 84?,,,,right,0,10,10,6,1,RESPONSE RECORDED,0,right,2.5384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,14 x 2 + 10 = 38?,,,,left,0,11,11,4,1,CONCENTRATE,1,left,3.2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,14 x 2 - 3 = 25?,,,,left,0,12,12,13,1,TRY HARDER,1,left,2.8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,50 x 3 + 12 = 147?,,,,right,0,13,13,1,1,SPEED UP,1,left,2.8814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,55 - 66 + 14 = 3?,,,,,,,,,,RESPONSE RECORDED,1,left,,space,5.1793,left,4.1545,0,0,0,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
