key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,handshake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.2543,0,6,6,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,jaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.6453,0,7,7,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,sled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.9254,0,8,8,5,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.9497,0,9,9,26,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,stole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.2748,0,10,10,3,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.3036,0,11,11,24,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.5363,0,12,12,22,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.8212,0,13,13,27,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,embassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.4092,0,14,14,6,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,delirium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.5843,0,15,15,7,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.8992,0,16,16,2,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.4834,0,17,17,14,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.1303,0,18,18,17,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.3747,0,19,19,12,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,4.3686,0,20,20,18,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,ate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.5984,0,21,21,4,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0208,0,22,22,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0012,0,23,23,23,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,rocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.9834,0,24,24,15,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,businessman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.8037,0,25,25,16,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.7345,0,26,26,21,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,shiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.6059,0,27,27,25,1,,,,,,,,,,,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.5797,4,8.2347,0,0,0,0,1,I felt excluded during the experiment.,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.6364,0,1,1,3,1,I felt stressed during the experiment.,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7.7115,0,2,2,1,1,Negative feedback showed me that I had lower task competencies than the other participants.,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.7273,0,3,3,2,1,I felt alone during the experiment.,,,,
,,,,,,,,,,,Jack,man,23,4-6h,2021-12-11_13h54.49.366,bachelor,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.017,space,3.822
