key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,12 + 10 x 4 = 70?,,,,,,,,,,,RESPONSE RECORDED,0,right,,,right,2.1052,0,4,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,6 - 13 + 4 = -3?,,,,,,,,,,,CONCENTRATE,1,left,,,right,2.5164,0,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,33 - 15 - 49 = -40?,,,,,,,,,,,TRY HARDER,0,right,,,right,1.6382,0,6,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,55 - 66 + 14 = 3?,,,,,,,,,,,RESPONSE RECORDED,1,left,,,right,3.6167,0,7,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,13 x 3 + 2 = 90?,,,,,,,,,,,RESPONSE RECORDED,0,right,,,right,1.6337,0,8,8,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,7 + 46 + 16 = 67?,,,,,,,,,,,RESPONSE RECORDED,0,right,,,right,2.5222,0,9,9,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,20 x 2 - 77 = 24?,,,,,,,,,,,YOU NEED TO CONCENTRATE,0,right,,,right,2.4819,0,10,10,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,56 - 6 x 3 = 33?,,,,,,,,,,,SPEED UP,0,right,,,left,2.9691,0,11,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,7 x 11 - 21 = 56?,,,,,,,,,,,GO FASTER,1,left,,,left,2.3157,0,12,12,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,10 x 11 + 45 = 155?,,,,,,,,,,,RESPONSE RECORDED,1,left,,,right,2.7991,0,13,13,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
